no,Participant,Direct,SD,parinf,parsup,Stimulustype,Age,Gender,Volunteer,PSE,PSEinf,PSEsup
1,AB,Direct,5.6829839,3.67603505,7.315064,Coins,22,f,FALSE,3.61E+00,2.11E+00,5.59E+00
2,AL,Direct,2.5168945,1.39319551,3.301257,Coins,68,m,TRUE,-1.14E-01,-1.20E+00,8.57E-01
3,AR,Direct,7.374682,5.00270317,9.952697,Coins,24,f,TRUE,3.35E+00,1.55E+00,6.25E+00
4,CB,Direct,2.1358669,0.38107505,3.131783,Coins,45,f,TRUE,4.06E-02,-1.04E+00,9.74E-01
5,CW,Direct,2.3335247,0.41828044,3.277975,Coins,17,f,TRUE,3.36E+00,2.39E+00,4.48E+00
6,DV,Direct,6.649781,4.95605106,9.118482,Coins,20,m,FALSE,8.81E-01,-1.17E+00,3.42E+00
7,EC,Direct,4.2324212,2.51764254,5.535046,Coins,28,f,TRUE,1.10E+00,-1.84E-01,2.45E+00
8,EM,Direct,6.1744394,4.12247998,8.665365,Coins,33,f,TRUE,2.39E+00,3.76E-01,4.58E+00
9,EN,Direct,2.1112652,0.68644238,2.935601,Coins,19,m,FALSE,1.02E+00,2.20E-01,2.18E+00
10,EW,Direct,2.7926295,1.33662152,3.897414,Coins,21,m,TRUE,3.85E+00,3.02E+00,4.99E+00
11,FK,Direct,3.7281476,2.04841417,5.033391,Coins,34,m,TRUE,1.72E+00,4.54E-01,3.09E+00
12,GR,Direct,2.0274279,0.3990983,2.935932,Coins,58,m,TRUE,1.93E+00,7.01E-01,2.92E+00
13,HA,Direct,1.9502332,0.42782055,2.693339,Coins,20,f,FALSE,7.93E-01,-1.68E-01,1.57E+00
14,HC,Direct,3.2228921,1.8622829,4.291322,Coins,34,m,FALSE,-3.77E-01,-1.56E+00,9.77E-01
15,HG,Direct,1.8484592,0.33431942,2.626181,Coins,72,m,TRUE,1.48E+00,4.99E-01,2.46E+00
