no,Participant,Direct,SD,parinf,parsup,Stimulustype,Age,Gender,Volunteer,PSE,PSEinf,PSEsup
16,HK,Direct,1.6577073,0.38362496,2.471141,Coins,17,f,TRUE,7.82E-01,-1.22E-01,1.72E+00
17,HW,Direct,5.989366,4.1838183,8.139853,Coins,70,m,TRUE,-1.19E+00,-2.69E+00,1.06E+00
18,IB,Direct,1.541147,0.33441757,2.198969,Coins,28,f,TRUE,3.99E+00,3.05E+00,4.92E+00
19,IV,Direct,2.587457,1.43551574,3.403356,Coins,32,f,TRUE,1.09E+00,-4.26E-02,2.16E+00
20,JB,Direct,5.3443913,3.53309516,7.27625,Coins,24,m,FALSE,3.62E+00,1.82E+00,5.49E+00
21,JBR,Direct,4.1059994,2.68483408,5.600531,Coins,24,f,FALSE,3.36E+00,1.79E+00,4.68E+00
22,JG,Direct,12.6590352,7.78271217,29.189653,Coins,23,f,FALSE,1.56E+00,-1.65E+00,6.42E+00
23,JJ,Direct,3.0012138,1.85253223,3.87099,Coins,18,m,FALSE,1.21E+00,-1.17E-01,2.26E+00
24,JK,Direct,2.1381452,0.40528277,2.764028,Coins,24,m,FALSE,-1.78E-01,-1.45E+00,9.25E-01
25,JL,Direct,6.0995586,4.10780569,8.398779,Coins,26,f,TRUE,4.36E+00,2.17E+00,6.20E+00
26,JR,Direct,2.778165,1.43720343,3.519983,Coins,61,f,TRUE,-2.66E-01,-1.18E+00,8.27E-01
27,JV,Direct,6.5721752,4.23806911,9.78633,Coins,24,m,FALSE,-2.84E+00,-5.44E+00,-1.10E+00
28,JW,Direct,2.1379889,0.39339454,2.932024,Coins,22,m,FALSE,2.68E+00,1.79E+00,3.98E+00
29,KB,Direct,4.6799563,3.00262718,6.319308,Coins,20,f,FALSE,1.63E+00,9.91E-02,3.19E+00
30,LA,Direct,13.277162,7.18272461,31.194577,Coins,24,m,FALSE,3.85E-01,-3.43E+00,4.10E+00
31,LB,Direct,5.5782871,3.36990752,8.068468,Coins,19,f,FALSE,2.12E+00,4.38E-01,4.37E+00
32,LE,Direct,2.195903,0.75875849,2.917519,Coins,21,m,FALSE,4.22E+00,3.29E+00,5.49E+00
33,LG,Direct,1.7803242,0.37555764,2.707668,Coins,47,f,TRUE,1.84E+00,7.99E-01,2.61E+00
34,LW,Direct,1.8573025,0.38424486,2.588167,Coins,40,f,TRUE,3.31E-04,-7.32E-01,8.56E-01
35,ME,Direct,2.9417018,1.68574271,3.855908,Coins,37,f,TRUE,1.56E+00,1.55E-01,2.85E+00
36,MG,Direct,2.2417785,0.40305806,3.337314,Coins,37,m,TRUE,3.75E+00,2.75E+00,4.93E+00
37,ML,Direct,1.9799162,0.38101846,2.729423,Coins,53,m,TRUE,6.34E-01,-2.84E-01,1.71E+00
38,MW,Direct,5.306324,3.10685672,7.632598,Coins,34,f,TRUE,-2.81E+00,-4.55E+00,-9.73E-01
39,ND,Direct,2.814731,1.51403159,3.634322,Coins,18,f,FALSE,1.92E+00,6.68E-01,2.95E+00
40,NK,Direct,2.4486113,1.2226778,3.271564,Coins,25,f,TRUE,3.06E+00,1.85E+00,4.21E+00
41,NL,Direct,2.9173224,1.47761249,3.966812,Coins,30,m,TRUE,3.49E+00,2.25E+00,4.94E+00
42,NV,Direct,5.3036276,3.60635723,7.5882,Coins,18,f,FALSE,4.15E+00,2.37E+00,6.21E+00
43,OA,Direct,1.8044278,0.3366813,2.452006,Coins,34,m,TRUE,2.17E+00,1.25E+00,3.27E+00
44,PK,Direct,1.8044278,0.3366813,2.353762,Coins,61,m,TRUE,2.17E+00,1.30E+00,3.02E+00
45,PR,Direct,2.5378947,1.54123696,3.545755,Coins,30,f,FALSE,1.19E+00,2.47E-01,2.31E+00
46,PS,Direct,2.839428,1.42462474,3.746378,Coins,27,f,TRUE,1.97E+00,8.54E-01,3.34E+00
47,RAJ,Direct,3.1193592,1.84851192,4.214924,Coins,25,m,TRUE,2.04E+00,7.97E-01,3.49E+00
48,RB,Direct,6.1667596,4.33048061,8.356902,Coins,24,m,FALSE,-1.69E+00,-3.67E+00,3.07E-01
49,RE,Direct,2.9656293,1.65795211,3.973154,Coins,29,f,TRUE,3.59E+00,2.57E+00,4.79E+00
50,RJ,Direct,3.246323,1.84859132,4.351282,Coins,25,f,FALSE,9.46E-01,-2.78E-01,2.28E+00
51,RK,Direct,3.9787219,2.49297841,4.961476,Coins,23,f,FALSE,2.06E+00,6.89E-01,3.23E+00
52,RM,Direct,5.7494083,3.89758898,8.280642,Coins,21,m,FALSE,8.88E-02,-1.36E+00,1.97E+00
53,RR,Direct,1.9957882,0.36530078,2.973796,Coins,60,f,TRUE,1.25E+00,2.61E-01,2.04E+00
54,SM,Direct,2.1184417,0.39638704,3.197628,Coins,34,m,TRUE,2.76E+00,1.78E+00,3.75E+00
55,SN,Direct,5.5659838,3.83708358,7.811613,Coins,23,m,FALSE,3.37E+00,1.59E+00,5.20E+00
56,SR,Direct,3.9166039,2.66252352,5.198832,Coins,18,f,FALSE,1.96E+00,6.46E-01,3.31E+00
57,SS,Direct,5.1978141,3.34948499,7.384423,Coins,19,f,FALSE,1.73E+00,4.95E-03,3.40E+00
58,TK,Direct,4.7385159,2.80912841,6.375846,Coins,18,m,FALSE,1.62E+00,1.44E-01,3.40E+00
59,VR,Direct,4.0929997,2.44867591,5.618097,Coins,21,f,FALSE,2.92E+00,1.42E+00,4.56E+00
60,WB,Direct,2.5310682,1.41861016,3.255309,Coins,50,m,TRUE,-5.21E-01,-1.58E+00,6.07E-01
61,WW,Direct,4.3381376,2.52630923,5.845154,Coins,73,m,TRUE,3.91E+00,2.45E+00,5.59E+00
62,YA,Direct,2.3200218,1.15722267,3.253883,Coins,46,f,FALSE,1.02E+00,-2.84E-01,2.18E+00
63,YM,Direct,5.0572025,3.44548106,7.583579,Coins,25,m,TRUE,1.64E+00,2.11E-02,3.60E+00
64,AB,Direct,4.8233835,2.94400203,7.177041,Balls,22,f,FALSE,-6.03E+00,-7.99E+00,-4.03E+00
65,AL,Direct,3.6759403,1.67549204,5.338366,Balls,68,m,TRUE,-4.57E+00,-6.21E+00,-3.37E+00
66,AR,Direct,2.1220815,0.39176774,2.951226,Balls,24,f,TRUE,-4.13E+00,-5.37E+00,-2.88E+00
67,CB,Direct,2.5128212,1.22267748,3.416451,Balls,45,f,TRUE,-3.52E+00,-4.74E+00,-2.61E+00
68,CW,Direct,5.0085421,2.84592212,7.624212,Balls,17,f,TRUE,-4.28E+00,-5.99E+00,-2.43E+00
69,DV,Direct,10.7762516,6.13419278,17.642729,Balls,20,m,FALSE,-7.54E+00,-1.32E+01,-4.40E+00
70,EC,Direct,4.6064249,2.73647929,6.31589,Balls,28,f,TRUE,-4.35E+00,-6.38E+00,-2.62E+00
71,EM,Direct,3.4625643,2.10173093,4.619873,Balls,33,f,TRUE,-2.82E+00,-4.22E+00,-1.55E+00
72,EN,Direct,3.1808128,1.72027852,4.147908,Balls,19,m,FALSE,-3.65E+00,-4.75E+00,-2.46E+00
73,EW,Direct,3.1822516,1.8725601,4.252204,Balls,21,m,TRUE,-6.59E-01,-1.77E+00,3.68E-01
74,FK,Direct,2.5922961,0.77656204,3.845924,Balls,34,m,TRUE,-6.81E+00,-8.33E+00,-5.31E+00
75,GR,Direct,2.3616741,0.39322896,3.406718,Balls,58,m,TRUE,-4.72E+00,-5.63E+00,-3.75E+00
76,HA,Direct,5.3280589,3.14901172,7.276314,Balls,20,f,FALSE,-5.14E+00,-7.11E+00,-3.88E+00
77,HC,Direct,2.5828614,1.38742704,3.38643,Balls,34,m,FALSE,-3.30E+00,-4.54E+00,-2.25E+00
78,HG,Direct,3.0506982,1.62595399,4.423508,Balls,72,m,TRUE,-6.58E+00,-8.03E+00,-4.88E+00
79,HK,Direct,0.9734329,0.03605658,1.541279,Balls,17,f,TRUE,-1.25E+00,-2.16E+00,-3.08E-01
80,HW,Direct,5.8638049,3.65442084,8.506766,Balls,70,m,TRUE,-5.25E+00,-7.67E+00,-3.32E+00
81,IB,Direct,3.37888,1.98952154,4.790967,Balls,28,f,TRUE,-4.50E+00,-6.14E+00,-3.03E+00
82,IV,Direct,2.0444963,0.45407427,2.881373,Balls,32,f,TRUE,-5.70E+00,-6.61E+00,-4.69E+00
83,JB,Direct,6.1028741,4.36189641,8.7601,Balls,24,m,FALSE,-5.44E+00,-8.20E+00,-3.62E+00
84,JBR,Direct,3.8353381,2.05501409,5.085105,Balls,24,f,FALSE,-5.17E+00,-6.69E+00,-3.68E+00
85,JG,Direct,7.4960956,5.56783773,11.804032,Balls,23,f,FALSE,-4.35E+00,-7.95E+00,-2.11E+00
86,JJ,Direct,5.2293904,3.17341507,6.761928,Balls,18,m,FALSE,-4.07E+00,-5.71E+00,-2.27E+00
87,JK,Direct,2.1426379,0.40452845,3.093385,Balls,24,m,FALSE,-5.18E+00,-6.02E+00,-4.25E+00
88,JL,Direct,7.7704537,5.32875668,11.243854,Balls,26,f,TRUE,-3.34E+00,-6.13E+00,-1.15E+00
89,JR,Direct,2.9115934,1.3934747,4.140102,Balls,61,f,TRUE,-5.56E+00,-6.73E+00,-4.34E+00
90,JV,Direct,6.378603,3.32607648,12.166497,Balls,24,m,FALSE,-1.08E+01,-1.78E+01,-8.06E+00
91,JW,Direct,3.9630212,2.40562889,5.065206,Balls,22,m,FALSE,-3.10E+00,-4.73E+00,-1.78E+00
92,KB,Direct,4.5796205,2.17354723,7.802786,Balls,20,f,FALSE,-9.19E+00,-1.31E+01,-7.41E+00
93,LA,Direct,5.4011627,3.11878718,7.661967,Balls,24,m,FALSE,-5.25E+00,-6.88E+00,-3.24E+00
94,LB,Direct,5.3700802,3.37992888,8.286336,Balls,19,f,FALSE,-5.90E+00,-8.55E+00,-4.00E+00
95,LE,Direct,2.8309669,1.54131876,3.762319,Balls,21,m,FALSE,-3.58E+00,-4.82E+00,-2.39E+00
96,LG,Direct,1.459226,0.38862489,2.139181,Balls,47,f,TRUE,-5.31E+00,-6.25E+00,-4.68E+00
97,LW,Direct,2.3731823,1.29510809,3.357184,Balls,40,f,TRUE,-2.72E+00,-3.72E+00,-1.70E+00
98,ME,Direct,2.2424911,0.41548161,3.199771,Balls,37,f,TRUE,-6.57E+00,-7.49E+00,-5.40E+00
99,MG,Direct,2.1405458,0.41744296,2.840883,Balls,37,m,TRUE,-4.82E+00,-5.88E+00,-3.98E+00
100,ML,Direct,4.50992,2.74790927,6.900285,Balls,53,m,TRUE,-4.12E+00,-5.71E+00,-2.62E+00
101,MW,Direct,4.7240017,2.91097858,6.350247,Balls,34,f,TRUE,-9.70E-01,-2.61E+00,4.45E-01
102,ND,Direct,3.1951704,2.03451555,4.51313,Balls,18,f,FALSE,-4.29E+00,-5.41E+00,-3.26E+00
103,NK,Direct,3.2755246,2.10863221,4.377112,Balls,25,f,TRUE,-1.10E+00,-2.40E+00,-2.56E-02
104,NL,Direct,1.9732569,0.39633028,2.767039,Balls,30,m,TRUE,-3.42E+00,-4.53E+00,-2.42E+00
105,NV,Direct,3.5536349,2.22469781,5.117272,Balls,18,f,FALSE,-4.69E+00,-6.47E+00,-3.28E+00
106,OA,Direct,5.3762548,3.47796129,7.723531,Balls,34,m,TRUE,-4.41E+00,-6.05E+00,-2.54E+00
107,PK,Direct,2.9604881,1.55534394,4.234143,Balls,61,m,TRUE,-5.44E+00,-6.68E+00,-4.20E+00
108,PR,Direct,4.9215789,3.15518214,6.519657,Balls,30,f,FALSE,-2.47E+00,-4.01E+00,-6.87E-01
109,PS,Direct,3.7359305,2.11959464,5.271665,Balls,27,f,TRUE,-4.13E+00,-5.71E+00,-2.49E+00
110,RAJ,Direct,2.4576418,1.29517816,3.781844,Balls,25,m,TRUE,-5.98E+00,-6.92E+00,-4.67E+00
111,RB,Direct,5.3081852,3.13840955,7.157426,Balls,24,m,FALSE,-6.79E+00,-9.29E+00,-5.08E+00
112,RE,Direct,2.5609531,0.77418758,4.09612,Balls,29,f,TRUE,-7.60E+00,-8.86E+00,-6.54E+00
113,RJ,Direct,2.3731823,0.97370451,3.08417,Balls,25,f,FALSE,-2.72E+00,-3.79E+00,-1.71E+00
114,RK,Direct,4.637577,2.6884679,6.394828,Balls,23,f,FALSE,-5.97E+00,-8.00E+00,-4.39E+00
115,RM,Direct,9.5437128,5.91421537,16.791081,Balls,21,m,FALSE,-3.28E+00,-7.06E+00,-4.39E-01
116,RR,Direct,3.391457,2.12008515,4.438968,Balls,60,f,TRUE,-2.78E+00,-4.11E+00,-1.42E+00
117,SM,Direct,3.8417111,2.34628823,5.374708,Balls,34,m,TRUE,-4.81E+00,-6.35E+00,-3.55E+00
118,SN,Direct,7.7725876,5.1445484,13.314871,Balls,23,m,FALSE,-5.75E+00,-1.12E+01,-3.79E+00
119,SR,Direct,2.0867774,0.40807431,3.076821,Balls,18,f,FALSE,-4.84E+00,-5.95E+00,-3.64E+00
120,SS,Direct,8.0645153,5.12496902,13.733419,Balls,19,f,FALSE,-7.68E+00,-1.29E+01,-4.56E+00
121,TK,Direct,9.8530426,5.12880152,18.691749,Balls,18,m,FALSE,-9.96E+00,-1.93E+01,-6.73E+00
122,VR,Direct,3.6670929,2.11413464,5.056189,Balls,21,f,FALSE,-5.64E+00,-7.12E+00,-4.06E+00
123,WB,Direct,3.2633679,2.12670883,4.363221,Balls,50,m,TRUE,1.45E-01,-8.31E-01,1.37E+00
124,WW,Direct,1.743866,0.3874251,2.373333,Balls,73,m,TRUE,-4.44E+00,-5.51E+00,-3.38E+00
125,YA,Direct,3.277448,1.85442967,4.582722,Balls,46,f,FALSE,-6.05E+00,-7.33E+00,-4.91E+00
126,YM,Direct,2.4917993,1.39398312,3.610673,Balls,25,m,TRUE,-6.10E+00,-7.27E+00,-4.91E+00
127,AB,Indirect,4.4429145,3.11980939,6.04669,Soccer,22,f,FALSE,-5.86E+00,-7.66E+00,-4.21E+00
128,AL,Indirect,2.6828964,1.37280879,3.576556,Soccer,68,m,TRUE,-3.25E+00,-4.66E+00,-2.05E+00
129,AR,Indirect,4.4981769,2.91067965,6.188329,Soccer,24,f,TRUE,-2.83E+00,-4.34E+00,-1.19E+00
130,CB,Indirect,2.0199098,0.45160487,2.768763,Soccer,45,f,TRUE,-1.40E+00,-2.36E+00,-5.26E-01
131,CW,Indirect,3.7100134,1.99272683,4.954935,Soccer,17,f,TRUE,-2.48E+00,-3.84E+00,-1.25E+00
132,DV,Indirect,11.8744912,6.32968506,34.034661,Soccer,20,m,FALSE,-8.96E+00,-2.47E+01,-4.94E+00
133,EC,Indirect,3.5580216,1.97488067,4.869924,Soccer,28,f,TRUE,-5.23E+00,-6.67E+00,-4.00E+00
134,EM,Indirect,5.2618751,3.38170126,7.157274,Soccer,33,f,TRUE,-1.40E+00,-2.88E+00,3.69E-01
135,EN,Indirect,3.3863659,1.83573561,4.633894,Soccer,19,m,FALSE,-4.70E+00,-6.19E+00,-3.54E+00
136,EW,Indirect,3.9279808,2.41227219,5.417514,Soccer,21,m,TRUE,-1.69E+00,-3.08E+00,-1.36E-01
137,FK,Indirect,3.0727397,1.9327015,4.280564,Soccer,34,m,TRUE,-2.34E+00,-3.81E+00,-9.34E-01
138,GR,Indirect,3.1406778,1.87396047,4.126297,Soccer,58,m,TRUE,1.86E-02,-1.25E+00,1.32E+00
139,HA,Indirect,2.3361173,1.29518653,3.131591,Soccer,20,f,FALSE,-5.51E+00,-6.66E+00,-4.68E+00
140,HC,Indirect,3.1806772,1.81389874,4.271759,Soccer,34,m,FALSE,-4.55E+00,-5.51E+00,-3.44E+00
141,HG,Indirect,1.716228,0.38244036,2.255071,Soccer,72,m,TRUE,-1.25E+00,-2.40E+00,-2.03E-01
142,HK,Indirect,2.5962759,1.44303328,3.583389,Soccer,17,f,TRUE,-2.31E+00,-3.52E+00,-1.10E+00
143,HW,Indirect,2.9191626,1.45922504,4.069352,Soccer,70,m,TRUE,-5.38E+00,-6.56E+00,-4.34E+00
144,IB,Indirect,1.6580948,0.36603744,2.12394,Soccer,28,f,TRUE,-3.28E+00,-4.24E+00,-2.32E+00
145,IV,Indirect,3.0236638,1.77254523,4.450449,Soccer,32,f,TRUE,-4.78E+00,-6.30E+00,-3.50E+00
146,JB,Indirect,3.9628241,2.49345956,5.248072,Soccer,24,m,FALSE,-5.98E+00,-7.38E+00,-4.45E+00
147,JBR,Indirect,4.7991855,2.84490931,6.277719,Soccer,24,f,FALSE,-4.80E+00,-6.51E+00,-3.17E+00
148,JG,Indirect,5.900795,3.72975162,8.564809,Soccer,23,f,FALSE,-3.22E+00,-5.17E+00,-1.03E+00
149,JJ,Indirect,4.188591,2.09198784,6.513542,Soccer,18,m,FALSE,-6.31E+00,-7.88E+00,-4.73E+00
150,JK,Indirect,7.4690673,2.51198231,16.111728,Soccer,24,m,FALSE,-1.17E+01,-2.13E+01,-7.91E+00
151,JL,Indirect,8.6990496,5.26219483,12.612361,Soccer,26,f,TRUE,-6.55E+00,-9.62E+00,-3.95E+00
152,JR,Indirect,1.9732618,0.41130702,3.05912,Soccer,61,f,TRUE,-1.58E+00,-2.55E+00,-6.66E-01
153,JV,Indirect,3.8372093,1.58197992,7.690536,Soccer,24,m,FALSE,-1.04E+01,-1.55E+01,-8.24E+00
154,JW,Indirect,4.6804029,3.06455388,6.365107,Soccer,22,m,FALSE,-1.10E+00,-2.78E+00,3.47E-01
155,KB,Indirect,7.6304342,4.57994284,11.114802,Soccer,20,f,FALSE,-8.54E+00,-1.24E+01,-5.92E+00
156,LA,Indirect,6.1820682,2.95185599,10.980242,Soccer,24,m,FALSE,-1.03E+01,-1.59E+01,-7.42E+00
157,LB,Indirect,8.4905509,5.49202496,12.655361,Soccer,19,f,FALSE,-3.69E+00,-7.01E+00,-1.62E+00
158,LE,Indirect,5.4680975,3.47535748,7.266458,Soccer,21,m,FALSE,-4.03E+00,-6.08E+00,-2.58E+00
159,LG,Indirect,2.0861449,1.15724148,2.758946,Soccer,47,f,TRUE,-2.02E+00,-3.13E+00,-1.21E+00
160,LW,Indirect,2.7952747,1.34170453,3.591226,Soccer,40,f,TRUE,-2.68E+00,-4.13E+00,-1.70E+00
161,ME,Indirect,2.1112652,1.06083986,2.993572,Soccer,37,f,TRUE,-1.02E+00,-2.34E+00,-2.20E-01
162,MG,Indirect,2.6374596,1.47734832,3.696988,Soccer,37,m,TRUE,-3.07E+00,-4.21E+00,-1.97E+00
163,ML,Indirect,2.4545019,1.518642,3.339538,Soccer,53,m,TRUE,-4.44E+00,-5.70E+00,-3.53E+00
164,MW,Indirect,4.3765579,2.75614417,6.087696,Soccer,34,f,TRUE,-2.68E+00,-4.46E+00,-1.02E+00
165,ND,Indirect,3.3409515,1.82558442,4.597136,Soccer,18,f,FALSE,-3.58E+00,-5.04E+00,-1.84E+00
166,NK,Indirect,6.9188527,4.37010228,9.736774,Soccer,25,f,TRUE,-5.50E+00,-8.50E+00,-3.49E+00
167,NL,Indirect,2.3119951,1.47766535,3.297087,Soccer,30,m,TRUE,-3.08E+00,-4.04E+00,-2.16E+00
168,NV,Indirect,2.1998867,0.42218457,2.911649,Soccer,18,f,FALSE,-1.87E+00,-2.85E+00,-7.52E-01
169,OA,Indirect,4.8259419,3.4258835,6.818423,Soccer,34,m,TRUE,-1.17E+00,-3.10E+00,7.38E-01
170,PK,Indirect,2.1229974,0.4452625,2.885348,Soccer,61,m,TRUE,-2.38E+00,-3.22E+00,-1.25E+00
171,PR,Indirect,3.8565772,2.25740718,5.17988,Soccer,30,f,FALSE,-1.56E+00,-3.26E+00,-1.37E-01
172,PS,Indirect,5.0912579,3.21539701,6.788716,Soccer,27,f,TRUE,-2.49E+00,-4.04E+00,-7.98E-01
173,RAJ,Indirect,3.1279516,1.81359865,4.233767,Soccer,25,m,TRUE,-2.97E+00,-4.20E+00,-1.92E+00
174,RB,Indirect,5.2547684,3.01325952,7.951262,Soccer,24,m,FALSE,-7.57E+00,-1.06E+01,-5.66E+00
175,RE,Indirect,3.3318449,1.71647964,4.275601,Soccer,29,f,TRUE,-3.87E+00,-5.49E+00,-2.66E+00
176,RJ,Indirect,4.2317774,2.80993827,5.370528,Soccer,25,f,FALSE,-2.91E+00,-4.35E+00,-1.38E+00
177,RK,Indirect,4.2649934,2.34294479,5.253437,Soccer,23,f,FALSE,-2.60E+00,-4.18E+00,-1.05E+00
178,RM,Indirect,7.5141483,4.56423843,10.754751,Soccer,21,m,FALSE,3.28E-01,-1.85E+00,2.35E+00
179,RR,Indirect,2.3792416,0.43376958,3.263299,Soccer,60,f,TRUE,-2.09E-04,-9.52E-01,9.80E-01
180,SM,Indirect,3.2236761,1.96038084,4.37407,Soccer,34,m,TRUE,-3.68E+00,-4.97E+00,-2.11E+00
181,SN,Indirect,9.2867642,6.54455344,15.339928,Soccer,23,m,FALSE,6.77E-02,-3.10E+00,2.91E+00
182,SR,Indirect,3.0662301,1.48252435,4.117865,Soccer,18,f,FALSE,-7.23E-01,-1.83E+00,8.70E-01
183,SS,Indirect,7.0985776,4.62608652,11.669043,Soccer,19,f,FALSE,-6.26E+00,-1.04E+01,-4.35E+00
184,TK,Indirect,11.2603434,2.58126623,72601.3523,Soccer,18,m,FALSE,-2.07E+01,-1.41E+05,-1.05E+01
185,VR,Indirect,5.5767983,3.09800016,7.997156,Soccer,21,f,FALSE,-4.07E+00,-5.71E+00,-2.58E+00
186,WB,Indirect,3.6992854,2.3846257,4.956634,Soccer,50,m,TRUE,-3.82E+00,-5.29E+00,-2.56E+00
187,WW,Indirect,1.5412295,0.35948443,2.224344,Soccer,73,m,TRUE,-3.51E+00,-4.43E+00,-2.60E+00
188,YA,Indirect,2.9728236,1.5467491,4.002691,Soccer,46,f,FALSE,-3.26E+00,-4.31E+00,-1.80E+00
189,YM,Indirect,3.2039852,1.62309421,4.421498,Soccer,25,m,TRUE,-1.88E+00,-2.84E+00,-5.53E-01
190,AB,Indirect,3.1530673,1.84866559,4.05404,Tennis,22,f,FALSE,1.37E-04,-1.00E+00,1.16E+00
191,AL,Indirect,3.7649875,2.26926557,4.817653,Tennis,68,m,TRUE,1.63E+00,2.89E-01,3.01E+00
192,AR,Indirect,2.987836,1.8111389,3.776641,Tennis,24,f,TRUE,7.18E-01,-6.99E-01,1.77E+00
193,CB,Indirect,1.4589626,0.3686016,2.103132,Tennis,45,f,TRUE,2.81E+00,1.84E+00,3.50E+00
194,CW,Indirect,4.6087586,3.08874369,6.19951,Tennis,17,f,TRUE,3.96E+00,2.45E+00,5.61E+00
195,DV,Indirect,14.3996778,7.9235884,32.210055,Tennis,20,m,FALSE,-5.85E+00,-1.11E+01,-1.49E+00
196,EC,Indirect,5.5606662,3.8009369,7.541411,Tennis,28,f,TRUE,-1.98E+00,-3.43E+00,-4.68E-01
197,EM,Indirect,4.3534089,2.85051193,5.420369,Tennis,33,f,TRUE,2.80E+00,1.11E+00,4.25E+00
198,EN,Indirect,4.6441247,2.66524094,5.838553,Tennis,19,m,FALSE,3.03E-04,-1.93E+00,1.48E+00
199,EW,Indirect,3.4229575,1.93282051,4.496128,Tennis,21,m,TRUE,-7.41E-01,-2.09E+00,5.10E-01
200,FK,Indirect,1.6577181,0.36690498,2.522639,Tennis,34,m,TRUE,4.22E+00,2.99E+00,4.97E+00
201,GR,Indirect,2.5321732,1.39315053,3.491863,Tennis,58,m,TRUE,4.32E+00,3.26E+00,5.43E+00
202,HA,Indirect,4.1197196,2.34319982,5.620563,Tennis,20,f,FALSE,5.48E-01,-6.69E-01,2.01E+00
203,HC,Indirect,4.3458083,2.62363668,5.425868,Tennis,34,m,FALSE,-2.57E+00,-4.20E+00,-8.78E-01
204,HG,Indirect,3.1870596,1.83389934,4.567858,Tennis,72,m,TRUE,5.63E+00,4.53E+00,6.94E+00
205,HK,Indirect,1.5414164,0.35291795,2.121509,Tennis,17,f,TRUE,-1.01E+00,-2.21E+00,2.00E-05
206,HW,Indirect,3.138709,1.84865452,4.059153,Tennis,70,m,TRUE,8.29E-01,-2.93E-01,2.08E+00
207,IB,Indirect,2.3368211,1.2951376,3.066991,Tennis,28,f,TRUE,1.32E+00,2.19E-01,2.45E+00
208,IV,Indirect,1.3820008,0.33456372,2.19906,Tennis,32,f,TRUE,1.25E+00,3.10E-01,2.30E+00
209,JB,Indirect,4.4247682,3.04093272,5.70391,Tennis,24,m,FALSE,-5.04E-02,-1.75E+00,1.86E+00
210,JBR,Indirect,4.5205393,3.15390761,5.874869,Tennis,24,f,FALSE,2.31E+00,7.45E-01,3.54E+00
211,JG,Indirect,7.86889,5.82623406,12.850632,Tennis,23,f,FALSE,1.02E+00,-1.53E+00,3.13E+00
212,JJ,Indirect,5.1814359,3.3162418,6.624599,Tennis,18,m,FALSE,-2.36E+00,-3.91E+00,-7.06E-01
213,JK,Indirect,4.2763005,2.74477533,5.750865,Tennis,24,m,FALSE,-3.25E+00,-5.15E+00,-2.03E+00
214,JL,Indirect,12.6223141,7.43530419,22.551859,Tennis,26,f,TRUE,-5.78E+00,-1.23E+01,-1.60E+00
215,JR,Indirect,2.7143302,1.38753653,3.858272,Tennis,61,f,TRUE,4.41E+00,3.11E+00,5.51E+00
216,JV,Indirect,8.4507572,4.24184677,13.467676,Tennis,24,m,FALSE,-6.51E+00,-1.01E+01,-4.15E+00
217,JW,Indirect,2.038334,0.39196069,2.842038,Tennis,22,m,FALSE,1.80E+00,8.38E-01,2.80E+00
218,KB,Indirect,5.2139942,3.62699587,6.906831,Tennis,20,f,FALSE,-1.63E+00,-3.29E+00,-1.21E-01
219,LA,Indirect,10.6909744,6.6566351,20.789694,Tennis,24,m,FALSE,-7.05E+00,-1.52E+01,-4.14E+00
220,LB,Indirect,6.7055053,4.50828276,9.207979,Tennis,19,f,FALSE,2.90E+00,1.01E+00,4.50E+00
221,LE,Indirect,3.3507826,1.89670308,4.407426,Tennis,21,m,FALSE,1.73E+00,1.98E-01,3.30E+00
