"rt","stimulus","key_press","test_part","correct_response","trial_type","trial_index","time_elapsed","internal_node_id","correct"
"14339","ImagesSoccer/VR97.5.png","188","test",",","image-keyboard-response","4","58882","0.0-3.0-1.0","true"
"1673","ImagesSoccer/VR107.5.png","190","test",".","image-keyboard-response","6","61058","0.0-3.0-1.1","true"
"1320","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","8","62879","0.0-3.0-1.2","true"
"2004","ImagesDirect/VL100.png","188","test",".","image-keyboard-response","10","65386","0.0-3.0-1.3","false"
"1732","ImagesDirect/VR110.png","190","test",".","image-keyboard-response","12","67620","0.0-3.0-1.4","true"
"2093","ImagesDirect/VL110.png","188","test",",","image-keyboard-response","14","70215","0.0-3.0-1.5","true"
"1381","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","16","72098","0.0-3.0-1.6","true"
"1815","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","18","74414","0.0-3.0-1.7","true"
"1943","ImagesDirect/VR95.png","190","test",",","image-keyboard-response","20","76860","0.0-3.0-1.8","false"
"1396","ImagesDirect/VL97.5.png","188","test",".","image-keyboard-response","22","78758","0.0-3.0-1.9","false"
"4732","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","24","83992","0.0-3.0-1.10","true"
"1216","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","26","85711","0.0-3.0-1.11","true"
"1169","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","28","87381","0.0-3.0-1.12","true"
"853","ImagesDirect/VL95.png","188","test",".","image-keyboard-response","30","88737","0.0-3.0-1.13","false"
"656","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","32","89895","0.0-3.0-1.14","true"
"1239","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","34","91638","0.0-3.0-1.15","true"
"3481","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","36","95621","0.0-3.0-1.16","true"
"1683","ImagesSoccer/VL90.png","190","test",".","image-keyboard-response","38","97805","0.0-3.0-1.17","true"
"1172","ImagesTennis/TR97.5.png","188","test",",","image-keyboard-response","40","99479","0.0-3.0-1.18","true"
"1193","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","42","101176","0.0-3.0-1.19","false"
"1216","ImagesSoccer/VL97.5.png","188","test",".","image-keyboard-response","44","102894","0.0-3.0-1.20","false"
"2095","ImagesTennis/TR95.png","188","test",",","image-keyboard-response","46","105492","0.0-3.0-1.21","true"
"1241","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","48","107235","0.0-3.0-1.22","true"
"2443","ImagesTennis/TL107.5.png","188","test",",","image-keyboard-response","50","110181","0.0-3.0-1.23","true"
"1545","ImagesDirect/VL92.5.png","188","test",".","image-keyboard-response","52","112230","0.0-3.0-1.24","false"
"1271","ImagesDirect/VR92.5.png","188","test",",","image-keyboard-response","54","114002","0.0-3.0-1.25","true"
"1429","ImagesSoccer/VL110.png","188","test",",","image-keyboard-response","56","115934","0.0-3.0-1.26","true"
"1577","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","58","118013","0.0-3.0-1.27","true"
"1292","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","60","119806","0.0-3.0-1.28","true"
"1883","ImagesSoccer/VR105.png","190","test",".","image-keyboard-response","62","122191","0.0-3.0-1.29","true"
"1018","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","64","123712","0.0-3.0-1.30","true"
"1075","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","66","125289","0.0-3.0-1.31","true"
"1150","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","68","126941","0.0-3.0-1.32","true"
"809","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","70","128253","0.0-3.0-1.33","true"
"972","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","72","129727","0.0-3.0-1.34","true"
"881","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","74","131110","0.0-3.0-1.35","true"
"648","ImagesDirect/VL105.png","188","test",",","image-keyboard-response","76","132260","0.0-3.0-1.36","true"
"660","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","78","133423","0.0-3.0-1.37","true"
"675","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","80","134600","0.0-3.0-1.38","true"
"691","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","82","135792","0.0-3.0-1.39","true"
"1037","ImagesDirect/VR97.5.png","190","test",",","image-keyboard-response","84","137331","0.0-3.0-1.40","false"
"1422","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","86","139256","0.0-3.0-1.41","true"
"3622","ImagesSoccer/VL95.png","188","test",".","image-keyboard-response","88","143381","0.0-3.0-1.42","false"
"912","ImagesSoccer/VL105.png","188","test",",","image-keyboard-response","90","144794","0.0-3.0-1.43","true"
"4572","ImagesSoccer/VR100.png","190","test",".","image-keyboard-response","92","149869","0.0-3.0-1.44","true"
"727","ImagesSoccer/VR102.5.png","190","test",".","image-keyboard-response","94","151098","0.0-3.0-1.45","true"
"1259","ImagesTennis/TR100.png","190","test",".","image-keyboard-response","96","152858","0.0-3.0-1.46","true"
"4135","ImagesTennis/TL100.png","188","test",".","image-keyboard-response","98","157496","0.0-3.0-1.47","false"
"1373","ImagesTennis/TL102.5.png","188","test",",","image-keyboard-response","100","159371","0.0-3.0-1.48","true"
"761","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","102","160634","0.0-3.0-1.49","true"
"1244","ImagesTennis/TR102.5.png","188","test",".","image-keyboard-response","104","162380","0.0-3.0-1.50","false"
"939","ImagesTennis/TR107.5.png","190","test",".","image-keyboard-response","106","163821","0.0-3.0-1.51","true"
"1307","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","108","165631","0.0-3.0-1.52","true"
"857","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","110","166990","0.0-3.0-1.53","true"
"697","ImagesSoccer/VR110.png","190","test",".","image-keyboard-response","112","168190","0.0-3.0-1.54","true"
"1635","ImagesDirect/VL92.5.png","188","test",".","image-keyboard-response","114","170327","0.0-3.0-1.55","false"
"1208","ImagesSoccer/VR90.png","188","test",",","image-keyboard-response","116","172038","0.0-3.0-1.56","true"
"1645","ImagesTennis/TL105.png","188","test",",","image-keyboard-response","118","174184","0.0-3.0-1.57","true"
"886","ImagesTennis/TR110.png","190","test",".","image-keyboard-response","120","175572","0.0-3.0-1.58","true"
"732","ImagesDirect/VR105.png","190","test",".","image-keyboard-response","122","176805","0.0-3.0-1.59","true"
"1360","ImagesDirect/VR100.png","190","test",".","image-keyboard-response","124","178667","0.0-3.0-1.60","true"
"810","ImagesTennis/TL95.png","190","test",".","image-keyboard-response","126","179979","0.0-3.0-1.61","true"
"736","ImagesSoccer/VL107.5.png","188","test",",","image-keyboard-response","128","181217","0.0-3.0-1.62","true"
"628","ImagesDirect/VL107.5.png","188","test",",","image-keyboard-response","130","182347","0.0-3.0-1.63","true"
"1622","ImagesTennis/TR102.5.png","188","test",".","image-keyboard-response","132","184470","0.0-3.0-1.64","false"
"1340","ImagesTennis/TR105.png","190","test",".","image-keyboard-response","134","186312","0.0-3.0-1.65","true"
"815","ImagesTennis/TL90.png","190","test",".","image-keyboard-response","136","187628","0.0-3.0-1.66","true"
"1311","ImagesDirect/VL90.png","190","test",".","image-keyboard-response","138","189441","0.0-3.0-1.67","true"
"2422","ImagesSoccer/VR95.png","188","test",",","image-keyboard-response","140","192365","0.0-3.0-1.68","true"
"623","ImagesTennis/TR92.5.png","188","test",",","image-keyboard-response","142","193490","0.0-3.0-1.69","true"
"1126","ImagesTennis/TL92.5.png","190","test",".","image-keyboard-response","144","195119","0.0-3.0-1.70","true"
"1064","ImagesSoccer/VL100.png","188","test",".","image-keyboard-response","146","196686","0.0-3.0-1.71","false"
"1046","ImagesSoccer/VL95.png","190","test",".","image-keyboard-response","148","198234","0.0-3.0-1.72","true"
"971","ImagesTennis/TL97.5.png","190","test",".","image-keyboard-response","150","199707","0.0-3.0-1.73","true"
"844","ImagesSoccer/VR92.5.png","188","test",",","image-keyboard-response","152","201053","0.0-3.0-1.74","true"
"750","ImagesTennis/TL100.png","190","test",".","image-keyboard-response","154","202306","0.0-3.0-1.75","true"
"1024","ImagesTennis/TR100.png","188","test",".","image-keyboard-response","156","203831","0.0-3.0-1.76","false"
"735","ImagesDirect/VR95.png","188","test",",","image-keyboard-response","158","205068","0.0-3.0-1.77","true"
"1200","ImagesDirect/VR102.5.png","190","test",".","image-keyboard-response","160","206771","0.0-3.0-1.78","true"
"2941","ImagesSoccer/VL92.5.png","190","test",".","image-keyboard-response","162","210214","0.0-3.0-1.79","true"
"1962","ImagesTennis/TL110.png","188","test",",","image-keyboard-response","164","212679","0.0-3.0-1.80","true"
"22454","ImagesSoccer/VL102.5.png","188","test",",","image-keyboard-response","166","235635","0.0-3.0-1.81","true"
"1424","ImagesDirect/VR90.png","188","test",",","image-keyboard-response","168","237561","0.0-3.0-1.82","true"
"727","ImagesTennis/TR90.png","188","test",",","image-keyboard-response","170","238789","0.0-3.0-1.83","true"
"653","ImagesDirect/VL102.5.png","188","test",",","image-keyboard-response","172","239943","0.0-3.0-1.84","true"
"1160","ImagesDirect/VL95.png","188","test",".","image-keyboard-response","174","241605","0.0-3.0-1.85","false"
"933","ImagesDirect/VR107.5.png","190","test",".","image-keyboard-response","176","243039","0.0-3.0-1.86","true"
"2335","ImagesSoccer/VR100.png","188","test",".","image-keyboard-response","178","245876","0.0-3.0-1.87","false"
